url,sessionid,from_ip,date_created,user,platform_id,combi,req,starts,25,ratio
http://www.onf.ca/film/le_ring_interieur,31e5ac781aff82f91104904e04723533,41.219.55.190,"2012-11-28 11:37:39",anonymous,4,http://www.onf.ca/film/le_ring_interieur_41.219.55.190_31e5ac781aff82f91104904e04723533,153,63,0,0.0000
http://www.nfb.ca/film/last-chance/trailer/last_chance_trailer,8fa80d97cd83df77effd651338aebd22,128.177.42.2,"2012-11-27 09:32:57",AnonymousUser,2,http://www.nfb.ca/film/last-chance/trailer/last_chance_trailer_128.177.42.2_8fa80d97cd83df77effd651338aebd22,68,68,0,0.0000
http://www.onf.ca/film/a_la_recherche_de_la_baleine_franche/,da3104894cdb9cff0eac38a769aa5e17,205.151.251.70,"2012-11-28 16:35:47",AnonymousUser,11,http://www.onf.ca/film/a_la_recherche_de_la_baleine_franche/_205.151.251.70_da3104894cdb9cff0eac38a769aa5e17,71,68,1,0.0147
http://www.nfb.ca/film/totem_the_return_of_the_gpsgolox_pole/,da0ab81fe5197affd724f97dc187953b,96.50.4.21,"2012-11-27 04:33:27",AnonymousUser,2,http://www.nfb.ca/film/totem_the_return_of_the_gpsgolox_pole/_96.50.4.21_da0ab81fe5197affd724f97dc187953b,70,70,0,0.0000
http://www.nfb.ca/film/between_living_in_the_hyphen/,c3c2c19f898c9061e56afad1b488f826,132.205.161.117,"2012-11-27 09:09:23",AnonymousUser,2,http://www.nfb.ca/film/between_living_in_the_hyphen/_132.205.161.117_c3c2c19f898c9061e56afad1b488f826,74,71,1,0.0141
http://www.onf.ca/film/formation_des_nuages/trailer/formation_des_nuages_bande_annonce,57122e1afbddab37ada24958697c0ba2,50.21.139.97,"2012-11-24 16:05:51",AnonymousUser,11,http://www.onf.ca/film/formation_des_nuages/trailer/formation_des_nuages_bande_annonce_50.21.139.97_57122e1afbddab37ada24958697c0ba2,71,71,0,0.0000
http://www.onf.ca/film/aviron_qui_nous_mene_solo_en_eaux_vives/,da3104894cdb9cff0eac38a769aa5e17,205.151.251.70,"2012-11-28 16:44:06",AnonymousUser,11,http://www.onf.ca/film/aviron_qui_nous_mene_solo_en_eaux_vives/_205.151.251.70_da3104894cdb9cff0eac38a769aa5e17,75,73,1,0.0137
http://www.nfb.ca/film/finding_dawn/,dc98e700166e2f06a717288d0160deae,96.49.164.171,"2012-11-28 00:01:24",AnonymousUser,2,http://www.nfb.ca/film/finding_dawn/_96.49.164.171_dc98e700166e2f06a717288d0160deae,78,74,1,0.0135
http://www.nfb.ca/film/radiant_city/,a498648471649c3fd8e452ebb1335e19,141.117.155.35,"2012-11-26 22:00:45",AnonymousUser,2,http://www.nfb.ca/film/radiant_city/_141.117.155.35_a498648471649c3fd8e452ebb1335e19,75,74,1,0.0135
http://www.nfb.ca/film/last-chance/trailer/last_chance_trailer,c707e84b7db028742bf571bd0c856703,68.232.66.218,"2012-11-27 22:04:09",AnonymousUser,2,http://www.nfb.ca/film/last-chance/trailer/last_chance_trailer_68.232.66.218_c707e84b7db028742bf571bd0c856703,76,76,0,0.0000
